 Contracting Office,Procurement AAC Code,Sub Tier Code,Sub Tier Name,Notice ID,Contract Opportunity Type,Opportunity Title,Description,Current Response Date,Current Set Aside,Initiative,NAICS,PSC,Place of Performance - Country,Place of Performance - Zip,Place of Performance - City,Place of Performance - State,Interested Vendor List (IVL) Enabled,Package Attachment Count (Public),POC Name,POC Email,Unique Entity ID,Legal Business Name,Last Published Date,Inactive Date,Last Updated Date,Status
FA8118 AFSC PZABB,FA8118,5700,DEPT OF THE AIR FORCE,FA811825Q0006,Award Notice,Remanufacture of B-52 Jet Engine Fuel Pump,,,8(a) Sole Source (FAR 19.8),None,Other Aircraft Parts and Auxiliary Equipment Manufacturing,MAINT/REPAIR/REBUILD OF EQUIPMENT- ENGINE ACCESSORIES,USA,73145,Tinker AFB,OK,true,,,,ECLHS3KB9BG9,ITT AEROSPACE CONTROLS LLC,"Mar 9, 2026 06:38 PM UTC","Mar 20, 2026 12:00 AM UTC","Mar 9, 2026 06:38 PM UTC",active
FAO,15BFA0,1540,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,15BBNF26C00000026,Award Notice,REPLACE ROOFS USP AND FCI 1 AT FCC VICTORVILLE,,,8(a) Sole Source (FAR 19.8),None,Roofing Contractors,REPAIR OR ALTERATION OF PENAL FACILITIES,USA,92394,Victorville,CA,true,,Krista Sua,kxsua@bop.gov,CMF6MLB57BL4,"SENECA FEDERAL SOLUTIONS, LLC","Mar 11, 2026 03:32 PM UTC","Mar 26, 2026 12:00 AM UTC","Mar 11, 2026 03:32 PM UTC",active
FCI EDGEFIELD,15B303,1540,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,15B30321PWFG10001-15B30321PWG330015,Award Notice,Welding Simulator,,,8(a) Sole Source (FAR 19.8),None,Other Technical and Trade Schools,MISCELLANEOUS WELDING EQUIPMENT,USA,29824,Edgefield,SC,true,,Sammie Rhodes,s1rhodes@bop.gov,QXTVPJEWKKH9,"LINCOLN ELECTRIC COMPANY, THE","Sep 14, 2021 04:37 PM UTC","Dec 25, 2066 12:00 AM UTC","Sep 14, 2021 04:37 PM UTC",active
FCI EDGEFIELD,15B303,1540,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,15B30321PWFG10001-15B30321PWG330015,Solicitation,Welding Simulator,"<p>Items: 2 VRTEX360+ Duel User</p>nn<p></p>nn<p>The Federal Bureau of Prisons, Federal Correctional Institution, Edgefield, South Carolina intends to","Aug 31, 2021 08:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Welding and Soldering Equipment Manufacturing,"EDUCATION, TRAINING, EMPLOYMENT & SOCIAL SVCS R&D SVCS; SOCIAL SVCS R&D; R&D FAC",USA,29824,Edgefield,SC,true,,Sammie Rhodes,s1rhodes@bop.gov,,,"Sep 14, 2021 04:24 PM UTC","Dec 23, 2027 12:00 AM UTC","Sep 14, 2021 04:24 PM UTC",active
FCI EDGEFIELD,15B303,1540,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,15B30321PWG330012,Award Notice,Fume Extractor Welding,<p>line item #002 Removable Welding table with 4 legs $565 each</p>nn<p>line item #003 welding Booth&nbsp; $1680.00 each</p>nn<p>line item #004&nbsp;&,,8(a) Sole Source (FAR 19.8),None,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,MISCELLANEOUS WELDING EQUIPMENT,USA,29824,Edgefield,SC,true,,Sammie Rhodes,s1rhodes@bop.gov,XPLKFEYYJPJ3,Air Cleaning Specialists Inc,"Sep 13, 2021 07:37 PM UTC","Dec 23, 2026 12:00 AM UTC","Sep 13, 2021 07:37 PM UTC",active
FCI EDGEFIELD,15B303,1540,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,15B30322BELLSOUTH,Presolicitation,Communication BELLSOUTH,"<p>The Federal Bureau of Prisons, Federal Correctional Institution, Edgefield, South Carolina intends to negotiate on a sole source basis under the au","Nov 19, 2021 05:00 PM UTC",8(a) Sole Source (FAR 19.8),None,All Other Telecommunications,UTILITIES- OTHER,USA,29824,Edgefield,SC,true,,Sammie Rhodes,s1rhodes@bop.gov,,,"Nov 15, 2021 05:23 PM UTC","Dec 31, 2027 12:00 AM UTC","Nov 15, 2021 05:23 PM UTC",active
FCI EDGEFIELD,15B303,1540,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,15B30322TRICOUNTY,Presolicitation,Landfill/Solid Waste,"<p>VThe Federal Bureau of Prisons, Federal Correctional Institution, Edgefield, South Carolina intends to negotiate on a sole source basis under the a","Nov 19, 2021 05:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Solid Waste Collection,HOUSEKEEPING- TRASH/GARBAGE COLLECTION,USA,29824,Edgefield,SC,true,,Sammie Rhodes,s1rhodes@bop.gov,,,"Nov 15, 2021 05:33 PM UTC","Dec 31, 2027 12:00 AM UTC","Nov 15, 2021 05:33 PM UTC",active
FLEET READINESS CENTER,N68520,1700,DEPT OF THE NAVY,,Special Notice,Notice of Intent to Sole Source Recruitment Services via Linkedin,"<p>The Commander Fleet Readiness Centers (COMFRC) Procurement Group, Patuxent River, MD 20670 hereby gives notice of their intent to award a purchase","Mar 9, 2026 07:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Employment Placement Agencies,SUPPORT- MANAGEMENT: OTHER,USA,92135,San Diego,CA,true,1,,,,,"Mar 9, 2026 02:28 PM UTC","Mar 24, 2026 12:00 AM UTC","Mar 9, 2026 02:28 PM UTC",active
GREAT PLAINS AREA INDIAN HEALTH SVC,75H706,7527,INDIAN HEALTH SERVICE,IHS1523310,Special Notice,"Intent Notice - Firm Fixed-Price, Delivery Order for Licensed Clinical Social Worker (LCSW) Services for Rosebud IHS Hospital, Rosebud SD","<p>The Great Plains Area Indian Health Service hereby submits a notice of intent to award a sole source, Firm Fixed-Price, delivery order for Licensed","Mar 13, 2026 04:00 PM UTC",8(a) Sole Source (FAR 19.8),,Offices of Mental Health Practitioners (except Physicians),MEDICAL- EVALUATION/SCREENING,USA,57570,Rosebud,SD,false,1,Jarrod Cole,jarrod.cole@ihs.gov,,,"Mar 2, 2026 04:53 PM UTC","Mar 28, 2026 12:00 AM UTC","Mar 2, 2026 04:53 PM UTC",active
NASA SHARED SERVICES CENTER,80NSSC,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80NSSC26926283Q,Special Notice,SuperHERO Alignment Monitoring System (AMS) Contract,<p><strong>Synopsis:</strong></p>nn<p></p>nn<p>NASA/NSSC has a requirement for SuperHERO Alignment Monitoring System (AMS) Contract.&nbsp;</p>nn<p>NAS,"Mar 17, 2026 08:00 PM UTC",8(a) Sole Source (FAR 19.8),None,"Colleges, Universities, and Professional Schools","AIRCRAFT HYDRAULIC, VACUUM, AND DE-ICING SYSTEM COMPONENTS",USA,,,,true,1,McKenzie Hanson,mckenzie.m.hanson@nasa.gov,,,"Mar 10, 2026 05:51 PM UTC","Apr 1, 2026 12:00 AM UTC","Mar 10, 2026 05:51 PM UTC",active
NASA SHARED SERVICES CENTER,80NSSC,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80NSSC26926464Q,Special Notice,MITRE NASA NIOC Engineering Services,<p><strong>Synopsis:</strong></p>nn<p></p>nn<p>NASA/NSSC has a requirement for MITRE NASA NIOC Engineering Services.&nbsp;</p>nn<p>NASA/NSSC intends t,"Mar 9, 2026 08:00 PM UTC",8(a) Sole Source (FAR 19.8),,"All Other Professional, Scientific, and Technical Services",SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,USA,,,,true,1,McKenzie Hanson,mckenzie.m.hanson@nasa.gov,,,"Mar 2, 2026 07:31 PM UTC","Mar 24, 2026 12:00 AM UTC","Mar 2, 2026 07:31 PM UTC",active
NASA SHARED SERVICES CENTER,80NSSC,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80NSSC26926729Q,Special Notice,FY26 Zeiss ATOS SMA Renewal,<p><strong>Synopsis:</strong></p>nn<p></p>nn<p>NASA/NSSC has a requirement for FY26 Zeiss ATOS SMA Renewal.&nbsp;</p>nn<p>NASA/NSSC intends to issue a,"Mar 10, 2026 08:00 PM UTC",8(a) Sole Source (FAR 19.8),None,,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERV,USA,,,,true,1,McKenzie Hanson,mckenzie.m.hanson@nasa.gov,,,"Mar 4, 2026 01:07 PM UTC","Mar 25, 2026 12:00 AM UTC","Mar 4, 2026 01:07 PM UTC",active
NASA SHARED SERVICES CENTER,80NSSC,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80NSSC26927344Q,Special Notice,FY26 Fidelity Pointwise Renewal,<p><strong>Synopsis:</strong></p>nn<p></p>nn<p>NASA/NSSC has a requirement for FY26 Fidelity Pointwise Renewal.&nbsp;</p>nn<p>NASA/NSSC intends to iss,"Mar 17, 2026 08:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Software Publishers,"IT and Telecom - End User: Help Desk; Tier 1-2, Workspace, Print, Output, Produc",USA,,,,true,1,McKenzie Hanson,mckenzie.m.hanson@nasa.gov,,,"Mar 10, 2026 05:41 PM UTC","Apr 1, 2026 12:00 AM UTC","Mar 10, 2026 05:41 PM UTC",active
NASA SHARED SERVICES CENTER,80NSSC,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80NSSC26927629Q,Special Notice,Powder Bed Fusion Development of Oxide Dispersion Strengthened Alloys,<p><strong>Synopsis:</strong></p>nn<p></p>nn<p>NASA/NSSC has a requirement for Powder Bed Fusion Development of Oxide Dispersion Strengthened Alloys.&,"Mar 18, 2026 08:00 PM UTC",8(a) Sole Source (FAR 19.8),None,All Other Support Services,MISCELLANEOUS WELDING EQUIPMENT,USA,,,,true,1,McKenzie Hanson,mckenzie.m.hanson@nasa.gov,,,"Mar 11, 2026 06:45 PM UTC","Apr 2, 2026 12:00 AM UTC","Mar 11, 2026 06:45 PM UTC",active
NATIONAL CEMETERY ADMIN (36C786),36C786,3600,"VETERANS AFFAIRS, DEPARTMENT OF",QNE--NCA-26-000003,Special Notice,Notice of Intent to Sole Source City of Port Huron -- S208,Notice of Intent to Sole Source City of Port Huron -- S208<br />Grounds Maintenance contract for Lakeside soldier's lot for station 923. Sole Source R,"Oct 1, 2025 12:00 AM UTC",8(a) Sole Source (FAR 19.8),None,Landscaping Services,HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,USA,48442,Holly,MI,false,1,April Graves,april.graves@va.gov,,,"Sep 17, 2025 08:17 PM UTC","Mar 27, 2026 12:00 AM UTC","Sep 17, 2025 08:17 PM UTC",active
NAVAL AIR SYSTEMS COMMAND,N00019,1700,DEPT OF THE NAVY,N00019-26-RFPREQ-WPM263-0183,Presolicitation,FedTribe LLC Delivery Order for Hardware for ScanEagle UAS Platform,"<p>The Naval Air Systems Command (NAVAIR), Patuxent River, MD, intends to negotiate and award a sole-source, Firm Fixed Price (FFP) type Delivery Orde","Mar 26, 2026 09:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Aircraft Manufacturing,UNMANNED AIRCRAFT,USA,98605,Bingen,WA,true,,Ashley Lyons,ashley.b.lyons.civ@us.navy.mil,,,"Mar 16, 2026 05:20 PM UTC","Mar 27, 2026 12:00 AM UTC","Mar 16, 2026 05:20 PM UTC",active
NAVAL AIR SYSTEMS COMMAND,N00019,1700,DEPT OF THE NAVY,N0001926RFPREQAPM2990346,Combined Synopsis/Solicitation,Greece Air Frame Field Service Representative (FSR),<p>The Naval Air Systems Command (NAVAIR) intends to award a Firm Fixed Price (FFP) modification to Order N00019XXXXXX under the Lockheed Martin Basic,"Mar 5, 2026 10:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Other Aircraft Parts and Auxiliary Equipment Manufacturing,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,GRC,,Athens,,true,,Jessica L. Lee,jessica.l.lee71.civ@us.navy.mil,,,"Feb 18, 2026 05:21 PM UTC","Mar 20, 2026 12:00 AM UTC","Feb 18, 2026 05:21 PM UTC",active
NAVFACSYSCOM MID-ATLANTIC,N40085,1700,DEPT OF THE NAVY,N4008525R0043,Solicitation,"REPLACE GENERATOR, BUILDING 372, DAM NECK ANNEX","<p>The project site is located at Dam Neck, Building 372. The scope of work involves replacing the existing 125kW, 208/120V, 3 Phase, Diesel Generator","Mar 5, 2026 07:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Commercial and Institutional Building Construction,REPAIR OR ALTERATION OF PRODUCTION BUILDINGS,USA,23460,Virginia Beach,VA,true,20,Abigail Reed,abigail.m.reed13.civ@us.navy.mil,,,"Feb 19, 2026 02:45 PM UTC","Mar 20, 2026 12:00 AM UTC","Feb 19, 2026 02:45 PM UTC",active
NAVFACSYSCOM MID-ATLANTIC,N40085,1700,DEPT OF THE NAVY,N4008525R0131,Solicitation,"REPLACE ECP CANOPY, BLDG 380, DAM NECK ANNEX",<p>Design and construct a new canopy roof system at Oceana Naval Air Station Dam Neck Annex at the Naval Special Warfare Development Group (NSWDG) Ent,"Mar 19, 2026 06:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Commercial and Institutional Building Construction,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,USA,23460,Virginia Beach,VA,true,18,Abigail Reed,abigail.m.reed13.civ@us.navy.mil,,,"Mar 12, 2026 02:39 PM UTC","Apr 3, 2026 12:00 AM UTC","Mar 12, 2026 02:39 PM UTC",active
NAVFACSYSCOM SOUTHEAST,N69450,1700,DEPT OF THE NAVY,N69450-25-C-1028,Award Notice,"B118, B608, B987 Generators",,,8(a) Sole Source (FAR 19.8),None,Other Building Equipment Contractors,REPAIR OR ALTERATION OF OTHER UTILITIES,USA,32212,Jacksonville,FL,true,,Aeon-Domini Charfauros,aeondomini.f.charfauros.civ@us.navy.mil,MNX2V9L3PE33,"ADVANCED MANAGEMENT GROUP, L.L.C.","Aug 12, 2025 07:32 PM UTC","Oct 26, 2026 12:00 AM UTC","Aug 12, 2025 07:32 PM UTC",active
NAVFACSYSCOM SOUTHEAST,N69450,1700,DEPT OF THE NAVY,N6945020C0061,Award Notice,"Replace HVAC System, B3040","<p>This action was awarded using FAR Part 19.8 procedures.&nbsp; This contract contains options for replacement of roof, electrical system, fire suppr",,8(a) Sole Source (FAR 19.8),None,Commercial and Institutional Building Construction,MAINTENANCE OF MISSILE SYSTEM FACILITIES,USA,31547,Kings Bay,GA,true,,Garry Murphy,garry.murphy@navy.mil,KW2RL9X5L5C4,"MACHIS MID-ATLANTIC, INC","Sep 9, 2020 01:39 PM UTC","Sep 8, 2050 12:00 AM UTC","Sep 9, 2020 01:39 PM UTC",active
NAVFACSYSCOM SOUTHEAST,N69450,1700,DEPT OF THE NAVY,N6945020C0082,Award Notice,Reconfigure B1052,"<p>This is a 8(a) sole source noncompetitive action.&nbsp; A firm fixed price contract was awarded to:</p>nn<p>Work includes providing all labor, mate",,8(a) Sole Source (FAR 19.8),None,Commercial and Institutional Building Construction,MAINTENANCE OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,USA,31547,Kings Bay,GA,true,,"Karen 'Katie' Register",karen.register@navy.mil,U653PUNVD3W5,"SOUTHERN AIRE CONTRACTING, INC.","Sep 30, 2020 01:52 PM UTC","Sep 29, 2050 12:00 AM UTC","Sep 30, 2020 01:52 PM UTC",active
NAVFACSYSCOM SOUTHWEST,N62473,1700,DEPT OF THE NAVY,N6247326R0014,Solicitation,R503-26 MOLD ABATMENT @ VARIOUS BASE,"AMENDMENT- 0006 Extend Proposal Due Date for (RFP) N62473-26-R-0014 PTO TBD, R503-26 MOLD ABATMENT @ VARIOUS BASE at MCAGCC, Twentynine Palms, CA.THE","Mar 13, 2026 01:00 AM UTC",8(a) Sole Source (FAR 19.8),None,Commercial and Institutional Building Construction,CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,,92278,,,true,4,Esmeralda Raggio,esmeralda.l.raggio.civ@us.navy.mil,,,"Mar 9, 2026 06:22 PM UTC","Mar 9, 2027 12:00 AM UTC","Mar 9, 2026 06:22 PM UTC",active
NAVFACSYSCOM SOUTHWEST,N62473,1700,DEPT OF THE NAVY,N6247326R0023,Solicitation,R501-26 REPAIR WELL 4A INCLUDING PHYSICAL SECURITY @ B2329 UT,Login at https://piee.eb.mil and search for 'N6247326R0023' to obtain more details.*,"Mar 24, 2026 01:00 AM UTC",8(a) Sole Source (FAR 19.8),None,Commercial and Institutional Building Construction,REPAIR OR ALTERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,,92278,,,false,3,Esmeralda Raggio,esmeralda.l.raggio.civ@us.navy.mil,,,"Feb 19, 2026 06:41 PM UTC","Feb 19, 2027 12:00 AM UTC","Feb 19, 2026 06:41 PM UTC",active
NAVFACSYSCOM SOUTHWEST,N62473,1700,DEPT OF THE NAVY,N6247326R0024,Solicitation,R502-26 MCAGCC WATER LEAK MITIGATION UT,Login at https://piee.eb.mil and search for 'N6247326R0024' to obtain more details.*,"Mar 25, 2026 01:00 AM UTC",8(a) Sole Source (FAR 19.8),None,Commercial and Institutional Building Construction,REPAIR OR ALTERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,,92278,,,true,3,Esmeralda Raggio,esmeralda.l.raggio.civ@us.navy.mil,,,"Mar 16, 2026 06:25 PM UTC","Mar 16, 2027 12:00 AM UTC","Mar 16, 2026 06:25 PM UTC",active
NAVSUP FLT LOG CTR NORFOLK,N00189,1700,DEPT OF THE NAVY,N0018926RL002,Combined Synopsis/Solicitation,Warehouse Storage Support Services,<p><strong>Synopsis for Solicitation number N0018926RL002</strong></p>nn<p><strong>(Warehouse and Storage Support Services)</strong></p>nn<p>The Naval,"Mar 23, 2026 03:00 PM UTC",8(a) Sole Source (FAR 19.8),None,General Warehousing and Storage,HOUSEKEEPING- WAREHOUSING/STORAGE,USA,23511,Norfolk,VA,true,13,Brittany Simmons,brittany.s.simmons3.civ@us.navy.mil,,,"Mar 16, 2026 01:29 PM UTC","Apr 7, 2026 12:00 AM UTC","Mar 16, 2026 01:29 PM UTC",active
NAVSUP FLT LOG CTR PUGET SOUND,N00406,1700,DEPT OF THE NAVY,N0040626QS207,Solicitation,"INTENT TO SOLE SOURCE: OEM (Vestdavit, Inc.) Service Repairs for VESTDAVIT Controllers",<p>To provide OEM Service Technician for repairs of the VESTDAVIT Controllers. Repair and inspection of<br />nterminal / radio control for controller,"Mar 6, 2026 06:00 PM UTC",8(a) Sole Source (FAR 19.8),None,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing","WINCHES, HOISTS, CRANES, AND DERRICKS",USA,,Edmonds,WA,true,4,Shawn Comparto,shawn.k.comparto.civ@us.navy.mil,,,"Mar 6, 2026 03:47 PM UTC","Apr 4, 2026 12:00 AM UTC","Mar 6, 2026 03:47 PM UTC",active
NAVSUP WEAPON SYSTEMS SUPPORT,N00383,1700,DEPT OF THE NAVY,N0038326RB056,Solicitation,RFP: N00383-26-R-B056; FMS Repair,<p>See attachment.</p>n,"Apr 13, 2026 08:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Other Communications Equipment Manufacturing,UNDERWATER SOUND EQUIPMENT,,,,,false,1,Electronic Mail: GRACE.V.MCGINLEY.CIV@US.NAVY.MIL,GRACE.V.MCGINLEY.CIV@US.NAVY.MIL,,,"Mar 13, 2026 05:18 PM UTC","Apr 28, 2026 12:00 AM UTC","Mar 13, 2026 05:18 PM UTC",active
NAVSUP WEAPON SYSTEMS SUPPORT,N00383,1700,DEPT OF THE NAVY,N0038326Y9505,Presolicitation,Synopsis for Repair 7RH 4810 014448517 V2,<p>NAVSUP Weapon Systems Support (NAVSUP WSS) Philadelphia intends to solicit on a sole source basis with&nbsp; Eaton (Cage: 86090).&nbsp;NAVSUP Weapo,"Mar 9, 2026 10:09 AM UTC",8(a) Sole Source (FAR 19.8),None,Other Aircraft Parts and Auxiliary Equipment Manufacturing,"VALVES, POWERED",USA,19111,,PA,false,,Telephone: 2156976549,KATLYN.M.GALETTO.CIV@US.NAVY.MIL,,,"Feb 19, 2026 03:30 PM UTC","Mar 24, 2026 12:00 AM UTC","Feb 19, 2026 03:30 PM UTC",active
