date	old_codes	new_codes	tables	line_numbers	description
2022q1	New code	733094613			Holding companies; equity investment in domestic and foreign nonbank affiliates; asset
2022q1	New code	733091003	 F.131, F.202, L.131, L.202	 4, 5, 2, 5	Holding companies; private foreign deposits at affiliates; asset
2022q1	New code	733030005	 F.131, F.205, L.131, L.205	 5, 19, 3, 19	Holding companies; total time and savings deposits; asset
2022q1	New code	733030003			Holding companies; time and savings deposits; asset
2022q1	New code	703194605	 S.62.a, S.62.a, S.62.a	 70, 91, 137	Private depository institutions; equity investment by parent companies; liability
2022q1	New code	703096105	 S.62.a, S.62.a, 620_matrix, 620_matrix, 720_matrix, 720_matrix, SBS_matrix	 56, 122, 29:7, 31:7, 29:7, 31:7, 9:4	Private depository institutions; miscellaneous and taxes receivable; asset (IMA)
2022q1	New code	663194015	 F.130, L.130	 32, 29	Security brokers and dealers; other investment by parent companies; liability
2022q1	New code	583096105	 620_matrix, 720_matrix	 31:14, 31:14	Insurance companies and pension funds; miscellaneous and taxes receivable; asset (IMA)
2022q1	New code	543194703	 F.116, F.232, L.116, L.232	 39, 22, 36, 22	Life insurance companies; other investment by holding company parent; liability
2022q1	New code	543194603	 F.116, F.232, L.116, L.232	 38, 17, 35, 17	Life insurance companies; equity investment by parent holding company; liability
2022q1	New code	543094703	 F.116, F.232, L.116, L.232	 23, 30, 21, 30	Life insurance companies; balances due from holding company parent; asset
2022q1	New code	523194605	 S.63.a, S.63.a, S.63.a	 62, 84, 123	Insurance companies; equity investment by holding companies; liability
2022q1	New code	523096105	 620_matrix, 720_matrix	 31:15, 31:15	Insurance companies; miscellaneous and taxes receivable; asset (IMA)
2022q1	New code	513194703	 F.115, F.232, L.115, L.232	 32, 21, 29, 21	Property-casualty insurance companies; other investment by holding company parent; liability
2022q1	New code	513194603	 F.115, F.232, L.115, L.232	 31, 16, 28, 16	Property-casualty insurance companies; equity investment by parent holding company; liability
2022q1	New code	513094703	 F.115, F.232, L.115, L.232	 21, 29, 19, 29	Property-casualty insurance companies; balances due from holding company parent; asset
2022q1	New code	503020025			Other financial business; checkable deposits and currency held by central clearing parties, including Federal Reserve deposits; asset
2022q1	New code	263196005	 S.9.a, S.9.a, S.9.a, S.9.q, S.9.q, S.9.q, 620_matrix, 720_matrix, SBS_matrix	 67, 103, 157, 67, 103, 157, 58:21, 59:21, 18:10	Rest of the world; other accounts payable; liability (IMA)
2022q1	New code	263194763			Rest of the world; foreign depository institution other investment by holding companies; liability
2022q1	New code	263194735	 F.133, F.232, S.9.a, S.9.a, S.9.q, S.9.q, L.133, L.232, 620_matrix, 720_matrix	 54, 25, 69, 159, 69, 159, 43, 25, 60:21, 61:21	Rest of the world; other investments by holding companies, excluding foreign deposits; liability
2022q1	New code	263194715			Rest of the world; foreign nonbank affiliate other investment by holding companies, excluding foreign deposits; liability
2022q1	New code	263096005	 S.9.a, S.9.a, S.9.a, S.9.q, S.9.q, S.9.q, 620_matrix, 720_matrix, SBS_matrix	 44, 87, 133, 44, 87, 133, 29:21, 29:21, 9:10	Rest of the world; other accounts receivable; asset (IMA)
2022q1	New code	263094715			Rest of the world; foreign nonbank affiliate balances due from U.S. holding companies; asset
2022q1	New code	263090005	 F.133, F.231, L.133, L.231, Flows_matrix, Levels_matrix	 35, 47, 22, 47, 45:13, 35:13	Rest of the world; total miscellaneous assets
2022q1	913194735	Deleted			Other financial corporations and insurance companies and pension funds; net transactions due to holding companies; liability
2022q1	773096005	773096105	 620_matrix, 620_matrix, 720_matrix, 720_matrix	 29:13, 31:13, 29:13, 31:13	Captive financial institutions and money lenders; other accounts receivable; asset (IMA)
2022q1	763194763	Deleted			
2022q1	763194735	Deleted	F.110, F.111, F.131, F.232, L.110, L.111, L.131, L.232	37, 53, 13, 15, 33, 50, 11, 15	U.S.-chartered depository institutions; net transactions due to holding companies, excluding foreign bank affiliates; liability
2022q1	763194733	Deleted			U.S.-chartered depository institutions; net transactions due to holding companies, including foreign bank affiliates; liability
2022q1	763178003	763178000	 F.110, F.111, F.228, L.110, L.111, L.228	 34, 51, 4, 30, 48, 4	U.S.-chartered depository institutions; total taxes payable (net); liability
2022q1	733194703	Deleted			Holding companies; total transactions due to own subsidiaries; liability
2022q1	733193015	Deleted	F.131	29	Holding companies; unidentified miscellaneous liabilities, excluding equity, etc.
2022q1	733164005	Deleted	F.131	28	Holding companies; equity accounts; liability
2022q1	733094705	Deleted	F.232, L.232	21, 21	Holding companies; net transactions due from own subsidiaries; asset
2022q1	733094703	Deleted			Holding companies; total transactions due from own subsidiaries; asset
2022q1	663194735	Deleted	F.131, F.232, L.131, L.232	17, 19, 15, 19	Security brokers and dealers; net transactions due to holding companies; liability
2022q1	663096005	Deleted			Security brokers and dealers; other accounts receivable; asset (Integrated Macroeconomic Accounts)
2022q1	613194003	613194703	 F.128, L.128	 24, 21	Finance companies; other investment by parent companies; liability
2022q1	543194733	Deleted	F.116, F.131, F.232, L.116, L.131, L.232	37, 15, 17, 34, 13, 17	Life insurance companies; net transactions due to holding companies; liability
2022q1	513194733	Deleted	F.115, F.131, F.232, L.115, L.131, L.232	30, 14, 16, 27, 12, 16	Property-casualty insurance companies; net transactions due to holding companies; liability
2022q1	263194765	Deleted			Rest of the world; foreign bank subsidiaries net transactions due to holding companies; liabilities
2022q1	263194763	Deleted			Rest of the world; foreign bank subsidiaries transactions due to holding companies; liabilities
2022q1	103094105	103094705	 F.232, F.232, S.5.a, S.5.a, S.5.q, S.5.q, L.103, L.232, L.232	 33, 34, 58, 141, 50, 133, 22, 33, 34	Nonfinancial corporate business; other investment in finance company subsidiaries; asset
2021q4	New code	813034005	 S.65.a, S.65.a	 48, 118	Other financial corporations; money market fund shares; asset
2021q4	New code	773093005	 620_matrix, 720_matrix	 31:13, 31:13	Captive financial institutions and money lenders; unidentified miscellaneous assets
2021q4	New code	763069023	 F.216, L.216	 36, 36	U.S.-chartered depository institutions; clearing and participant fund contributions at central clearing parties; asset
2021q4	New code	763069005	 F.111, L.111	 25, 23	U.S.-chartered depository institutions; other loans and advances; asset
2021q4	New code	693081005	 620_matrix, 720_matrix, 7II_matrix, 7II_matrix	 15:9, 15:9, 10:1, 10:3	Non-MMF investment funds; equity and investment fund shares; asset
2021q4	New code	663069025	 F.216, L.216	 37, 37	Security brokers and dealers; clearing and participant fund contributions at central clearing parties (net); asset
2021q4	New code	653034003	 F.122, F.206, L.122, L.206	 3, 11, 2, 10	Mutual funds; money market fund shares; asset
2021q4	New code	634090073			Money market funds; total financial assets, excluding nonpublic private placements (ICI)
2021q4	New code	634090053	 F.121, L.121	 17, 17	Money market funds; total financial assets of tax-exempt funds
2021q4	New code	634090043	 F.121, L.121	 16, 16	Money market funds; total financial assets of prime funds
2021q4	New code	634090033	 F.121, L.121	 15, 15	Money market funds; total financial assets of government funds
2021q4	New code	634090020	 F.121, L.121	 14, 14	Money market funds; floating NAV total financial assets
2021q4	New code	564091703	 F.124, L.124	 12, 12	Exchange-traded funds; total financial assets in other funds (commodity funds)
2021q4	New code	563034003	 F.124, F.206, L.124, L.206	 2, 12, 2, 11	Exchange-traded funds; money market fund shares; asset
2021q4	New code	504190025			Other financial business; total liabilities of central clearing parties
2021q4	New code	504090025			Other financial business; total financial assets of central clearing parties
2021q4	New code	503169123			Other financial business; open market paper issued by central clearing parties; liability
2021q4	New code	503169023	 F.216, L.216	 35, 35	Other financial business; clearing and participant fund contributions of central clearing parties; liability
2021q4	New code	503169005	 F.132, L.132	 23, 22	Other financial business; other loans and advances; liability
2021q4	New code	503093023	 F.132, F.234, L.132, L.234	 15, 40, 15, 40	Other financial business; unidentified miscellaneous assets of central clearing parties
2021q4	New code	503069025	 F.216, L.216	 38, 38	Other financial business; clearing and participant fund contributions of central clearing parties; asset
2021q4	New code	503061105	 F.132, F.210, L.132, L.210	 7, 54, 7, 54	Other financial business; Treasury securities; asset
2021q4	New code	503034023			Other financial business; money market fund shares held by central clearing parties; asset
2021q4	New code	503020023			Other financial business; checkable deposits and currency held by central clearing parties; asset
2021q4	New code	503061123			Other financial business; Treasury securities held by central clearing parties; asset
2021q4	New code	503020005	 F.132, F.204, L.132, L.204	 2, 35, 2, 35	Other financial business; checkable deposits and currency; asset
2021q4	New code	502051023			Other financial business; security repurchase agreements held by central clearing parties; asset
2021q4	New code	502051005	 F.132, F.207, L.132, L.207	 4, 40, 4, 40	Other financial business; security repurchase agreements; asset
2021q4	New code	502010023			Other financial business; nonfinancial assets of central clearing parties
2021q4	New code	483081005	 7II_matrix, 7II_matrix	 10:4, 10:7	Mutual funds and exchange-traded funds; equity and investment fund shares; asset
2021q4	New code	483034005	 620_matrix, 620_matrix, 720_matrix, 720_matrix, 7II_matrix, 7II_matrix, 7II_matrix, 7II_matrix, 7II_matrix, 7II_matrix, 7II_matrix, 7II_matrix	 19:9, 20:9, 19:9, 20:9, 12:1, 12:3, 12:4, 12:7, 13:1, 13:3, 13:4, 13:7	Mutual funds and exchange-traded funds; money market fund shares; asset
2021q4	914190085	914190083	 X.13	 10	Other financial corporations and insurance companies and pension funds; liabilities to depository institutions (FWTW)
2021q4	914190065	914190063	 X.13	 3	Other financial corporations and insurance companies and pension funds; liabilities to the rest of the world (FWTW)
2021q4	914190055	914190053	 X.13	 7	Other financial corporations and insurance companies and pension funds; liabilities to the general government (FWTW)
2021q4	914190045	914190043	 X.13	 11	Other financial corporations and insurance companies and pension funds; liabilities to nonfinancial businesses and households and nonprofit organizations (FWTW)
2021q4	914090085	914090083	 X.13	 8	Other financial corporations and insurance companies and pension funds; claims on depository institutions; asset (FWTW)
2021q4	914090065	914090063	 X.13	 2	Other financial corporations and insurance companies and pension funds; claims on the rest of the world; asset (FWTW)
2021q4	914090055	914090053	 X.13	 6	Other financial corporations and insurance companies and pension funds; claims on the general government; asset (FWTW)
2021q4	914090045	914090043	 X.13	 9	Other financial corporations and insurance companies and pension funds; claims on the nonfinancial businesses and households and nonprofit organizations; asset (FWTW)
2021q4	913181005	913181003	 X.13	 12	Other financial corporations and insurance companies and pension funds; equity and investment fund shares; liability (FWTW)
2021q4	913096005	913096003	 X.13	 13	Other financial corporations and insurance companies and pension funds; other accounts receivable (net) (FWTW)
2021q4	813069165	813069163	 t21_matrix, t22_matrix	 18:6, 18:6	Other financial corporations; short-term debt securities issued by non-residents; asset (FWTW)
2021q4	813063065	813063063	 t21_matrix, t22_matrix	 19:6, 19:6	Other financial corporations; long-term debt securities issued by non-residents; asset (FWTW)
2021q4	794022135	794022133	 X.12, t31_matrix	 10, 4:3	Domestic financial sectors; debt securities issued by government; asset (FWTW)
2021q4	794022125	794022123	 X.12, t31_matrix	 9, 3:3	Domestic financial sectors; debt securities issued by financial corporations; asset (FWTW)
2021q4	794022045	794022043	 X.12, t31_matrix	 8, 2:3	Domestic financial sectors; debt securities issued by nonfinancial businesses; asset (FWTW)
2021q4	794022015	793062113	 X.12, t31_matrix	 11, 5:3	Domestic financial sectors; municipal securities issued by nonprofit organizations; asset (FWTW)
2021q4	703069165	703069163	 t21_matrix, t22_matrix	 18:4, 18:4	Private depository institutions; commercial paper issued by the rest of the world; asset (FWTW)
2021q4	634090000	634090010	 F.121, L.121	 13, 13	Money market funds; constant NAV total financial assets
2021q4	633069125	633069123	 t21_matrix, t22_matrix	 18:5, 18:5	Money market funds; commercial paper issued by the rest of the world; asset (FWTW)
2021q4	633020000	Deleted	F.121, F.204, 620_matrix, L.121, L.204, 720_matrix	3, 31, 6:8, 3, 31, 6:8	Money market funds; checkable deposits and currency; asset
2021q4	583069165	583069163	 t21_matrix, t22_matrix	 18:8, 18:8	Insurance companies and pension funds; short-term debt securities issued by non-residents; asset (FWTW)
2021q4	583063205	583063063	 t21_matrix, t22_matrix	 19:8, 19:8	Insurance companies and pension funds; foreign bonds; asset (FWTW)
2021q4	503170655	Deleted	F.233, 620_matrix, L.233, 720_matrix	34, 59:13, 34, 60:13	Other financial business; payables due to broker dealers; liability
2021q4	503070655	Deleted	F.132, F.233, 620_matrix, L.132, L.233, 720_matrix	13, 36, 30:13, 13, 36, 30:13	Other financial business; receivables due from broker dealers; asset
2021q4	364022135	364022133	 X.12, t31_matrix	 17, 4:4	General government; debt securities issued by government; asset (FWTW)
2021q4	364022125	364022123	 X.12, t31_matrix	 16, 3:4	General government; debt securities issued by financial corporations; asset (FWTW)
2021q4	264022135	264022133	 X.12, t31_matrix	 38, 4:6	Rest of the world; debt securities issued by government; asset (FWTW)
2021q4	264022125	264022123	 X.12, t31_matrix	 37, 3:6	Rest of the world; debt securities issued by financial corporations; asset (FWTW)
2021q4	264022045	264022043	 X.12, t31_matrix	 36, 2:6	Rest of the world; debt securities issued by nonfinancial businesses; asset (FWTW)
2021q4	223069115	213069115	 t21_matrix, t22_matrix	 10:9, 10:9	State and local governments; commercial paper issued by residents; asset (FWTW)
2021q4	214022045	214022043	 X.12, t31_matrix	 15, 2:4	State and local governments; debt securities issued by nonfinancial businesses; asset (FWTW)
2021q4	213069165	213069163	 t21_matrix, t22_matrix	 18:9, 18:9	State and local governments; commercial paper issued by the rest of the world; asset (FWTW)
2021q4	154022135	154022133	 X.12, t31_matrix	 24, 4:5	Households and nonprofit organizations; debt securities issued by government; asset (FWTW)
2021q4	154022125	154022123	 X.12, t31_matrix	 23, 3:5	Households and nonprofit organizations; debt securities issued by financial corporations; asset (FWTW)
2021q4	154022045	154022043	 X.12, t31_matrix	 22, 2:5	Households and nonprofit organizations; debt securities issued by nonfinancial businesses; asset (FWTW)
2021q4	144022135	144022133	 X.12, t31_matrix	 3, 4:2	Nonfinancial business; debt securities issued by government; asset (FWTW)
2021q4	144022125	144022123	 X.12, t31_matrix	 2, 3:2	Nonfinancial business; debt securities issued by financial corporations; asset (FWTW)
2021q4	144022045	144022043	 X.12, t31_matrix	 1, 2:2	Nonfinancial business; debt securities issued by nonfinancial businesses; asset (FWTW)
2021q4	103069165	103069163	 X.12, t21_matrix, t22_matrix, t31_matrix	 6, 18:1, 18:1, 6:2	Nonfinancial corporate business; commercial paper issued by the rest of the world; asset (FWTW)
2021q3	New code	894022615	 t21_matrix, t22_matrix	 11:13, 11:13	All sectors; long-term debt securities issued by residents (excluding nonmarketable Treasury securities); asset
2021q3	New code	894022415	 t21_matrix, t22_matrix	 10:13, 10:13	All sectors; short-term debt securities issued by residents; asset
2021q3	New code	894022205	 t21_matrix, t21_matrix, t21_matrix, t21_matrix, t22_matrix, t22_matrix, t22_matrix, t22_matrix	 1:13, 8:13, 25:13, 32:13, 1:13, 8:13, 25:13, 32:13	All sectors; debt securities (excluding nonmarketable Treasury securities); asset
2021q3	New code	814022615	 t21_matrix, t22_matrix	 11:6, 11:6	Other financial corporations; long-term debt securities issued by residents (excluding nonmarketable Treasury securities); asset
2021q3	New code	814022415	 t21_matrix, t22_matrix	 10:6, 10:6	Other financial corporations; short-term debt securities issued by residents; asse
2021q3	New code	814022205	 t21_matrix, t21_matrix, t21_matrix, t21_matrix, t22_matrix, t22_matrix, t22_matrix, t22_matrix	 1:6, 8:6, 25:6, 32:6, 1:6, 8:6, 25:6, 32:6	Other financial corporations; debt securities (excluding nonmarketable Treasury securities); asset
2021q3	New code	813069165	 t21_matrix, t22_matrix	 18:6, 18:6	Other financial corporations; short-term debt securities issued by non-residents; asset
2021q3	New code	813063065	 t21_matrix, t22_matrix	 19:6, 19:6	Other financial corporations; long-term debt securities issued by non-residents; asset
2021q3	New code	803096205	 620_matrix, 720_matrix	 30:10, 30:10	Other financial intermediaries except insurance companies and pension funds; trade credits and advances; asset
2021q3	New code	794022615	 t21_matrix, t22_matrix	 11:2, 11:2	Domestic financial sectors; long-term debt securities issued by residents (excluding nonmarketable Treasury securities); asset
2021q3	New code	794022415	 t21_matrix, t22_matrix	 10:2, 10:2	Domestic financial sectors; short-term debt securities issued by residents; asset
2021q3	New code	794022205	 t21_matrix, t21_matrix, t21_matrix, t21_matrix, t22_matrix, t22_matrix, t22_matrix, t22_matrix	 1:2, 8:2, 25:2, 32:2, 1:2, 8:2, 25:2, 32:2	Domestic financial sectors; debt securities (excluding nonmarketable Treasury securities); asset
2021q3	New code	793069165	 t21_matrix, t22_matrix	 18:2, 18:2	Domestic financial sectors; short-term debt securities issued by non-residents; asset
2021q3	New code	793063065	 t21_matrix, t22_matrix	 19:2, 19:2	Domestic financial sectors; long-term debt securities issued by non-residents; asset
2021q3	New code	773096005	 620_matrix, 720_matrix	 29:13, 29:13	Captive financial institutions and money lenders; other accounts receivable; asset (IMA)
2021q3	New code	704022615	 t21_matrix, t22_matrix	 11:4, 11:4	Private depository institutions; long-term debt securities issued by residents; asset
2021q3	New code	703069115	 t21_matrix, t22_matrix	 10:4, 10:4	Private depository institutions; open market paper issued by residents; asset
2021q3	New code	674022615	 t21_matrix, t21_matrix, t21_matrix, t22_matrix, t22_matrix, t22_matrix, t22_matrix, t22_matrix	 1:7, 8:7, 11:7, 1:7, 8:7, 11:7, 25:7, 32:7	Issuers of asset-backed securities; long-term debt securities issued by residents; asset
2021q3	New code	663196205	 620_matrix, 720_matrix	 59:11, 60:11	Security brokers and dealers; trade credits and advances; liability (IMA)
2021q3	New code	663170653	 F.130, L.130	 31, 28	Security brokers and dealers; payables owed to clearing organizations; liability
2021q3	New code	663170605	 F.233, L.233	 33, 33	Security brokers and dealers; payables owed to other brokers and dealers and clearing organizations; liability
2021q3	New code	663070653	 F.130, F.132, L.130, L.132	 17, 26, 15, 25	Security brokers and dealers; receivables due from clearing organizations; asset
2021q3	New code	663070605	 F.233, L.233	 35, 35	Security brokers and dealers; receivables due from other brokers and dealers and clearing organizations; asset
2021q3	New code	634022615	 t21_matrix, t22_matrix	 11:5, 11:5	Money market funds; long-term debt securities issued by residents; asset
2021q3	New code	634022415	 t21_matrix, t22_matrix	 10:5, 10:5	Money market funds; short-term debt securities issued by residents; asset
2021q3	New code	584022615	 t21_matrix, t22_matrix	 11:8, 11:8	Insurance companies and pension funds; long-term debt securities issued by residents (excluding nonmarketable Treasury securities); asset
2021q3	New code	584022415	 t21_matrix, t22_matrix	 10:8, 10:8	Insurance companies and pension funds; short-term debt securities issued by residents; asset
2021q3	New code	584022205	 t21_matrix, t21_matrix, t21_matrix, t21_matrix, t22_matrix, t22_matrix, t22_matrix, t22_matrix	 1:8, 8:8, 25:8, 32:8, 1:8, 8:8, 25:8, 32:8	Insurance companies and pension funds; debt securities (excluding nonmarketable Treasury securities); asset
2021q3	New code	583069165	 t21_matrix, t22_matrix	 18:8, 18:8	Insurance companies and pension funds; short-term debt securities issued by non-residents; asset
2021q3	New code	503170655	 F.233, L.233, 620_matrix, 720_matrix	 34, 34, 59:13, 60:13	Other financial business; payables due to broker dealers; liability
2021q3	New code	503090005	 F.132, F.231, L.132, L.231	 12, 46, 12, 46	Other financial business; total miscellaneous assets
2021q3	New code	503070655	 F.132, F.233, L.132, L.233, 620_matrix, 720_matrix	 13, 36, 13, 36, 30:13, 30:13	Other financial business; receivables due from broker dealers; asset
2021q3	New code	364022615	 t21_matrix, t22_matrix	 11:9, 11:9	General government; long-term debt securities issued by residents (excluding nonmarketable Treasury securities); asset
2021q3	New code	364022205	 t21_matrix, t21_matrix, t21_matrix, t21_matrix, t22_matrix, t22_matrix, t22_matrix, t22_matrix	 1:9, 8:9, 25:9, 32:9, 1:9, 8:9, 25:9, 32:9	General government; debt securities (excluding nonmarketable Treasury securities); asset
2021q3	New code	264022015	 t21_matrix, t21_matrix, t21_matrix, t21_matrix, t22_matrix, t22_matrix, t22_matrix, t22_matrix	 1:12, 8:12, 25:12, 32:12, 1:12, 8:12, 25:12, 32:12	Rest of the world; debt securities issued by residents; asset
2021q3	New code	223069115	 t21_matrix, t22_matrix	 10:9, 10:9	State and local governments; commercial paper issued by residents; asset
2021q3	New code	154022615	 t21_matrix, t22_matrix	 11:11, 11:11	Households and nonprofit organizations; long-term debt securities issued by residents (excluding nonmarketable Treasury securities); asset
2021q3	New code	154022205	 t21_matrix, t21_matrix, t21_matrix, t21_matrix, t22_matrix, t22_matrix, t22_matrix, t22_matrix	 1:11, 8:11, 25:11, 32:11, 1:11, 8:11, 25:11, 32:11	Households and nonprofit organizations; debt securities (excluding nonmarketable Treasury securities); asset
2021q3	New code	144022615	 t21_matrix, t22_matrix	 11:1, 11:1	Nonfinancial business; long-term debt securities issued by residents; asset
2021q3	New code	103069115	 t21_matrix, t22_matrix	 10:1, 10:1	Nonfinancial corporate business; commercial paper issued by residents; asset
2021q3	663097005	663070675	 F.132, L.132	 27, 26	Security brokers and dealers; securities borrowed (net); asset
2021q3	503069165	Deleted			Other financial business; commercial paper that is collateral for securities lending; asset
2021q3	153040015	153052215	 X.6	 9	Households and nonprofit organizations; life insurance reserves excluding unit-linked; asset
2021q2	New code	882010405	 B.1	 13	All domestic sectors; market value estimate of nonfinancial assets
2021q2	New code	792010405	 B.1	 15	Domestic financial sectors; market value estimate of nonfinancial assets
2021q2	New code	664140673			Security brokers and dealers; agency- and GSE-backed securities, short position; liability
2021q2	New code	664140633			Security brokers and dealers; corporate and foreign bonds, short position; liability
2021q2	New code	664140615			Security brokers and dealers; Treasury securities, short position; liability
2021q2	New code	663061763			Security brokers and dealers; agency- and GSE-backed securities, long position; asset
2021q2	New code	663061165			Security brokers and dealers; Treasury securities, long position; asset
2021q2	New code	613069505	 F.128, F.216, L.128, L.216	 8, 39, 6, 39	Finance companies; nonfinancial business loans, including Paycheck Protection Program loans; asset
2021q2	New code	163069055			Nonprofit organizations; other loans and advances to households receivable held by 501c3-9 organizations; asset
2021q2	New code	163069043	 F.216, L.216	 60, 60	Nonprofit organizations; other loans and advances to businesses receivable held by 501c3-9 organizations; asset
2021q2	New code	153169055	 F.216, L.216	 59, 59	Households and nonprofit organizations; other loans and advances from nonprofit organizations; liability
2021q2	New code	113169563			Nonfinancial noncorporate business; finance companies loans from Paycheck Protection Program; liability
